Unnamed: 0.1,Unnamed: 0,pid,modality,method,embedding_size,accuracy,train_type
14.0,14.0,12,kinetic,contrastive,128,0.9625,
15.0,15.0,30,kinetic,contrastive,128,0.9625,
16.0,16.0,36,kinetic,contrastive,128,1.0,
17.0,17.0,9,kinetic,contrastive,128,1.0,
18.0,18.0,39,kinetic,contrastive,128,0.95,
19.0,19.0,3,kinetic,contrastive,128,0.9875,
20.0,20.0,24,kinetic,contrastive,128,0.9875,
21.0,21.0,33,kinetic,contrastive,128,0.9875,
22.0,22.0,18,kinetic,contrastive,128,0.975,
23.0,23.0,15,kinetic,contrastive,128,0.975,
24.0,24.0,6,kinetic,contrastive,128,0.9875,
25.0,25.0,21,kinetic,contrastive,128,0.9375,
26.0,26.0,27,kinetic,contrastive,128,0.975,
54.0,54.0,12,kinetic,contrastive+VAE,128,0.95,
55.0,55.0,30,kinetic,contrastive+VAE,128,0.9375,
56.0,56.0,36,kinetic,contrastive+VAE,128,0.8375,
57.0,57.0,9,kinetic,contrastive+VAE,128,1.0,
58.0,58.0,39,kinetic,contrastive+VAE,128,0.925,
59.0,59.0,3,kinetic,contrastive+VAE,128,0.925,
60.0,60.0,24,kinetic,contrastive+VAE,128,0.9625,
61.0,61.0,33,kinetic,contrastive+VAE,128,0.9416666626930236,
62.0,62.0,18,kinetic,contrastive+VAE,128,0.975,
63.0,63.0,15,kinetic,contrastive+VAE,128,0.975,
64.0,64.0,6,kinetic,contrastive+VAE,128,0.9375,
65.0,65.0,21,kinetic,contrastive+VAE,128,0.8375,
66.0,66.0,27,kinetic,contrastive+VAE,128,0.9625,
80.0,80.0,12,kinetic,VAE,128,0.9625,
81.0,81.0,30,kinetic,VAE,128,0.9625,
82.0,82.0,36,kinetic,VAE,128,0.825,
83.0,83.0,9,kinetic,VAE,128,0.975,
84.0,84.0,39,kinetic,VAE,128,0.9,
85.0,85.0,3,kinetic,VAE,128,0.95,
86.0,86.0,24,kinetic,VAE,128,0.9375,
